PDB	Name
5GLH	T4-Lysozyme
5GLI	mT4L
5IU4	BRIL
5IU7	BRIL
5IU8	BRIL
5IUA	BRIL
5IUB	BRIL
5JQH	T4-Lysozyme
5JTB	BRIL
5K2A	BRIL
5K2B	BRIL
5K2D	BRIL
5KW2	T4-Lysozyme
5MZJ	BRIL
5MZP	BRIL
5N2R	BRIL
5N2S	BRIL
5NDD	T4-Lysozyme
5NDD	BRIL
5NJ6	BRIL
5NLX	BRIL
5NM2	BRIL
5NM4	BRIL
5OLG	BRIL
5OLH	BRIL
5OLO	BRIL
5OLV	BRIL
5OLZ	BRIL
5OM1	BRIL
5OM4	BRIL
5T1A	T4-Lysozyme
5TGZ	Flavodoxin
5TUD	BRIL
5TVN	BRIL
5TZR	Endolysin
5TZY	T4-Lysozyme
5U09	PGS (Pyrococcus abyssi glycogen synthase)
5UIG	BRIL
5UIW	Rubredoxin
5UNG	BRIL
5UVI	BRIL
5VBL	Rubredoxin
5VEX	T4-Lysozyme
5VRA	BRIL
5W0P	T4-Lysozyme
5WB1	Nanobody-7
5WB2	Nanobody 7
5WF5	T4-Lysozyme
5WF6	T4-Lysozyme
5WIV	BRIL
5WQC	GlgA glycogen synthase
5WS3	PGS (GlgA glycogen synthase)
5X33	T4-Lysozyme
5X93	T4-Lysozyme
5XEZ	T4-Lysozyme
5XJM	BRIL
5XPR	T4-Lysozyme
5XR8	Flavodoxin
5XSZ	T4-Lysozyme
5YC8	BRIL
5YQZ	T4-Lysozyme
5ZBH	T4-Lysozyme
5ZBQ	T4-Lysozyme
5ZK3	BRIL
5ZK8	BRIL
5ZKB	BRIL
5ZKC	BRIL
5ZKP	Flavodoxin
5ZTY	T4-Lysozyme
6A93	BRIL
6A94	BRIL
6AK3	BRIL
6AQF	BRIL
6B73	BRIL
6BD4	Rubredoxin
6BQG	BRIL
6BQH	BRIL
6C1Q	BRIL
6CM4	T4-Lysozyme
6D35	BRIL
6D9H	Muscarinic acetylcholine receptor M4 N-terminus
6DO1	BRIL
6DRX	BRIL
6DRY	BRIL
6DRZ	BRIL
6DS0	BRIL
6E59	GlgA glycogen synthase
6FFH	Endolysin
6FFI	T4-Lysozyme
6GDG	Thioredoxin (TrxA)
6GPS	Rubredoxin
6GPX	Rubredoxin
6GT3	BRIL
6H7L	Thioredoxin 1
6H7M	Thioredoxin 1
6H7N	Thioredoxin 1
6HLL	PGS (Pyrococcus abysii glycogen synthase)
6HLO	GlgA glycogen synthase
6HLP	PGS (Pyrococcus abysii glycogen synthase)
6IBL	Thioredoxin 1
6IGK	T4-Lysozyme
6IGL	T4-Lysozyme
6IIU	BRIL
6IIU	Rubredoxin
6IIV	BRIL
6IIV	Rubredoxin
6IQL	BRIL
6J20	T4-Lysozyme
